CH,CQ,G,VSUB,Q_T,T,VGS,RSER,AR,CC,GC,HGAIN,CHADJ,CQADJ,COX,CMIN,TOXNM,INVCHSQR,STRETCHOUT,NCORR,DEPTHM,N90W,DEBYEM,CFB,VFB,PSISPSIO,PHIB,PSIO,PSIS,EIT,DIT,VTH,WMS,QEFF,BEST_LO,BEST_HI,NAVG,TIME,NAVG,TIME
2.06E-11,2.15386E-11,1.E-7,5.75E+0,-1.E-13,2.2797E+1,-5.75E+0,*,7.90985E-8,2.06005E-11,7.91002E-8,*,2.17943E-11,2.15386E-11,*,*,*,2.07953E+21,1.00361E+0,5.83518E+15,9.52209E-7,*,*,*,*,4.58694E+0,*,*,4.42486E+0,4.6394E+0,-7.70139E+8,*,*,*,*,*,*,*,*,*
2.05E-11,2.14528E-11,1.E-7,5.86E+0,-3.E-13,2.3016E+1,-5.86E+0,*,7.93009E-8,2.05005E-11,7.93027E-8,*,2.16885E-11,2.14528E-11,*,*,*,2.11463E+21,1.00343E+0,5.00429E+15,9.57639E-7,*,*,*,*,4.67271E+0,*,*,4.51063E+0,4.72517E+0,-7.09028E+8,*,*,*,*,*,*,*,*,*
2.04E-11,2.1275E-11,0.E+0,5.95E+0,-2.E-13,2.3219E+1,-5.95E+0,*,-2.04964E-8,2.03999E-11,-2.04964E-8,*,2.15822E-11,2.1275E-11,*,*,*,2.15255E+21,1.00309E+0,4.63302E+15,9.6315E-7,*,*,*,*,4.7586E+0,*,*,4.59652E+0,4.81105E+0,-9.21876E+8,*,*,*,*,*,*,*
2.01E-11,2.10475E-11,1.E-7,6.05E+0,-1.E-13,2.3438E+1,-6.05E+0,*,8.01007E-8,2.01005E-11,8.01025E-8,*,2.12653E-11,2.10475E-11,*,*,*,2.18953E+21,1.00277E+0,5.15186E+15,9.79898E-7,*,*,*,*,4.84464E+0,*,*,4.68256E+0,4.89709E+0,-6.5098E+8,*,*,*,*,*,*,*
2.01E-11,2.07906E-11,1.E-7,6.15E+0,-1.E-13,2.3657E+1,-6.15E+0,*,8.01007E-8,2.01005E-11,8.01025E-8,*,2.12653E-11,2.07906E-11,*,*,*,2.22343E+21,1.00259E+0,5.37965E+15,9.79898E-7,*,*,*,*,4.93085E+0,*,*,4.76877E+0,4.9833E+0,-1.41606E+9,*,*,*,*,*,*,*
2.E-11,2.05933E-11,1.E-7,6.24E+0,0.E+0,2.386E+1,-6.24E+0,*,8.02982E-8,2.00004E-11,8.03E-8,*,2.11595E-11,2.05933E-11,*,*,*,2.254E+21,1.00263E+0,6.00125E+15,9.85603E-7,*,*,*,*,5.01719E+0,*,*,4.85511E+0,5.06964E+0,-1.6848E+9,*,*,*,*,*,*,*
1.97E-11,2.05356E-11,1.E-7,6.36E+0,-1.E-13,2.4078E+1,-6.36E+0,*,8.08848E-8,1.97004E-11,8.08866E-8,*,2.08421E-11,2.05356E-11,*,*,*,2.28731E+21,1.00262E+0,7.59802E+15,1.00306E-6,*,*,*,*,5.10357E+0,*,*,4.94149E+0,5.15602E+0,-9.09654E+8,*,*,*,*,*,*,*
1.95E-11,2.05025E-11,0.E+0,6.45E+0,-2.E-13,2.4282E+1,-6.45E+0,*,-1.87278E-8,1.95E-11,-1.87278E-8,*,2.063E-11,2.05025E-11,*,*,*,2.30446E+21,1.0027E+0,9.71166E+15,1.01503E-6,*,*,*,*,5.18997E+0,*,*,5.02789E+0,5.24242E+0,-3.77678E+8,*,*,*,*,*,*,*
1.94E-11,2.02875E-11,0.E+0,6.55E+0,-2.E-13,2.45E+1,-6.55E+0,*,-1.85362E-8,1.94E-11,-1.85362E-8,*,2.05242E-11,2.02875E-11,*,*,*,2.32303E+21,1.00274E+0,1.10233E+16,1.02109E-6,*,*,*,*,5.27651E+0,*,*,5.11443E+0,5.32897E+0,-6.99364E+8,*,*,*,*,*,*,*
1.94E-11,2.00291E-11,0.E+0,6.65E+0,-1.E-13,2.4719E+1,-6.65E+0,*,-1.85362E-8,1.94E-11,-1.85362E-8,*,2.05242E-11,2.00291E-11,*,*,*,2.33759E+21,1.00287E+0,1.14576E+16,1.02109E-6,*,*,*,*,5.36323E+0,*,*,5.20115E+0,5.41568E+0,-1.45986E+9,*,*,*,*,*,*,*
1.93E-11,1.98817E-11,0.E+0,6.76E+0,-1.E-13,2.4922E+1,-6.76E+0,*,-1.83456E-8,1.93E-11,-1.83456E-8,*,2.04184E-11,1.98817E-11,*,*,*,2.3565E+21,1.00276E+0,9.03928E+15,1.02722E-6,*,*,*,*,5.45004E+0,*,*,5.28796E+0,5.50249E+0,-1.57954E+9,*,*,*,*,*,*,*
1.9E-11,1.986E-11,0.E+0,6.85E+0,-1.E-13,2.5141E+1,-6.85E+0,*,-1.77797E-8,1.9E-11,-1.77797E-8,*,2.01011E-11,1.986E-11,*,*,*,2.37798E+21,1.00249E+0,7.64684E+15,1.04598E-6,*,*,*,*,5.53687E+0,*,*,5.37479E+0,5.58932E+0,-7.075E+8,*,*,*,*,*,*,*

TEST RESULTS:  KI_DIT_LIB  09/04/2013  14:20:48
